name,sector,fit_t_start,fit_t_stop,fit_width,td_Momega_real,td_Momega_imag_abs,relative_residual
Schwarzschild_scalar_l2,scalar,90.0,170.0,80.0,0.4838396458640566,0.09473938459580358,0.010064100992588525
Schwarzschild_scalar_l2,scalar,100.0,180.0,80.0,0.48395421303834124,0.09762533022913297,0.00523716705758733
Schwarzschild_scalar_l2,scalar,110.0,190.0,80.0,0.48379725241850297,0.09339633395420663,0.01667843121259245
Schwarzschild_scalar_l2,scalar,120.0,200.0,80.0,0.48405005716391025,0.09828768732073481,0.00864089073552699
Schwarzschild_scalar_l2,scalar,130.0,210.0,80.0,0.48340507831887763,0.09278456759465198,0.02027594874861319
Schwarzschild_scalar_l2,scalar,140.0,220.0,80.0,0.4837764175385089,0.09829845001951014,0.007938179067013999
Schwarzschild_scalar_l2,scalar,150.0,230.0,80.0,0.48325532626657564,0.092850454140216,0.01970382280667559
Schwarzschild_scalar_l2,scalar,160.0,240.0,80.0,0.4839344750476677,0.09816222674624467,0.00830545952501243
Schwarzschild_scalar_l2,scalar,40.0,140.0,100.0,0.47898054256887557,0.09738850539014687,0.022457923589091267
Schwarzschild_scalar_l2,scalar,50.0,150.0,100.0,0.4835870515066074,0.09765885827507696,0.0038164840342094267
Schwarzschild_scalar_l2,scalar,60.0,160.0,100.0,0.4833669865532323,0.09548659257574096,0.006901002464728772
Schwarzschild_scalar_l2,scalar,70.0,170.0,100.0,0.48379025190357167,0.09632899545059918,0.001975981860047887
Schwarzschild_scalar_l2,scalar,80.0,180.0,100.0,0.48366727227171236,0.09664687353753926,0.000571489658838014
Schwarzschild_scalar_l2,scalar,90.0,190.0,100.0,0.4838008007691217,0.095134161238463,0.008056726246948417
Schwarzschild_scalar_l2,scalar,100.0,200.0,100.0,0.48389987742442464,0.09743940263974374,0.004172247788262466
Schwarzschild_scalar_l2,scalar,110.0,210.0,100.0,0.483781306742235,0.09405151364988934,0.01332043379148657
Schwarzschild_scalar_l2,scalar,120.0,220.0,100.0,0.4839845879652827,0.0979863880234741,0.006992629159802087
Schwarzschild_scalar_l2,scalar,130.0,230.0,100.0,0.4834447534939782,0.0935781314364613,0.016189513000860807
Schwarzschild_scalar_l2,scalar,140.0,240.0,100.0,0.48373302452646716,0.09796611213564509,0.0062427162384497805
Schwarzschild_scalar_l2,scalar,150.0,250.0,100.0,0.4833619416215527,0.09357929592930928,0.01584100018816645
Schwarzschild_scalar_l2,scalar,160.0,260.0,100.0,0.4839496374345659,0.09790373249901632,0.0072823655277681094
Schwarzschild_EM_l2,electromagnetic,40.0,100.0,60.0,0.45224484013803123,0.09036590354248926,0.038576795211902305
Schwarzschild_EM_l2,electromagnetic,50.0,110.0,60.0,0.45783440912634416,0.09734734569069063,0.011894584077415402
Schwarzschild_EM_l2,electromagnetic,60.0,120.0,60.0,0.4578958424465326,0.0908442799783654,0.02135796614143785
Schwarzschild_EM_l2,electromagnetic,70.0,130.0,60.0,0.4578961141538022,0.09585200445585308,0.005059946718493887
Schwarzschild_EM_l2,electromagnetic,80.0,140.0,60.0,0.45785927071248644,0.09300169257055457,0.010244047502981642
Schwarzschild_EM_l2,electromagnetic,90.0,150.0,60.0,0.4573443295087635,0.09392609559081642,0.0059843614510778935
Schwarzschild_EM_l2,electromagnetic,100.0,160.0,60.0,0.4576957972744003,0.09514384281846826,0.0009532765202036865
Schwarzschild_EM_l2,electromagnetic,110.0,170.0,60.0,0.4568629224334619,0.09175737446381865,0.01803096453156744
Schwarzschild_EM_l2,electromagnetic,120.0,180.0,60.0,0.4575569067750763,0.09656902304534745,0.007889057463044738
Schwarzschild_EM_l2,electromagnetic,130.0,190.0,60.0,0.4569037827393695,0.08988330023142557,0.02709896072281486
Schwarzschild_EM_l2,electromagnetic,140.0,200.0,60.0,0.45789303296721057,0.09727536685562276,0.012152351039868451
Schwarzschild_EM_l2,electromagnetic,150.0,210.0,60.0,0.45720911950403087,0.0894373211890245,0.02937016591146532
Schwarzschild_EM_l2,electromagnetic,160.0,220.0,60.0,0.4579605835702447,0.09692267793336917,0.010965638541404473
Schwarzschild_EM_l2,electromagnetic,40.0,110.0,70.0,0.45225646100503414,0.09122759280722957,0.03471512288858593
Schwarzschild_EM_l2,electromagnetic,50.0,120.0,70.0,0.457763544747218,0.09705806532006474,0.010281751846473746
Schwarzschild_EM_l2,electromagnetic,60.0,130.0,70.0,0.4578570726733369,0.09144780656596943,0.018160604567161193
Schwarzschild_EM_l2,electromagnetic,70.0,140.0,70.0,0.4578611704685175,0.09573481842531448,0.004376190552439482
Schwarzschild_EM_l2,electromagnetic,80.0,150.0,70.0,0.45781850121219764,0.09328098555873043,0.008774046946994012
Schwarzschild_EM_l2,electromagnetic,90.0,160.0,70.0,0.45738996793410547,0.09408454801877379,0.005067627193927393
Schwarzschild_EM_l2,electromagnetic,100.0,170.0,70.0,0.4576908133438676,0.09510771484182376,0.0007880129797379194
Schwarzschild_EM_l2,electromagnetic,110.0,180.0,70.0,0.45697295714764197,0.0922430437393092,0.01530722180739054
Schwarzschild_EM_l2,electromagnetic,120.0,190.0,70.0,0.4575577507824506,0.09632102996389513,0.0066527198255206576
Schwarzschild_EM_l2,electromagnetic,130.0,200.0,70.0,0.45701130392502637,0.09062141970913123,0.023047314375418283
Schwarzschild_EM_l2,electromagnetic,140.0,210.0,70.0,0.45786563208540604,0.09694092017044614,0.01045201330682625
Schwarzschild_EM_l2,electromagnetic,150.0,220.0,70.0,0.45724438257921646,0.09026624427347912,0.024944602581474226
Schwarzschild_EM_l2,electromagnetic,160.0,230.0,70.0,0.4578824807460835,0.0965987610053495,0.00921824458093652
Schwarzschild_EM_l2,electromagnetic,40.0,120.0,80.0,0.4522676218215731,0.09184487371555597,0.03211099425853657
Schwarzschild_EM_l2,electromagnetic,50.0,130.0,80.0,0.4577126093087638,0.0968538240967234,0.009138507993272118
Schwarzschild_EM_l2,electromagnetic,60.0,140.0,80.0,0.457832081238337,0.09188010318000304,0.015899853217459316
Schwarzschild_EM_l2,electromagnetic,70.0,150.0,80.0,0.4578359149006525,0.0956517555102537,0.003888088679219749
Schwarzschild_EM_l2,electromagnetic,80.0,160.0,80.0,0.45779068247739546,0.09348341385402863,0.0077236780711160725
Schwarzschild_EM_l2,electromagnetic,90.0,170.0,80.0,0.4574229671700547,0.09419686165674955,0.00441552398067721
Schwarzschild_EM_l2,electromagnetic,100.0,180.0,80.0,0.4576872762384234,0.09508610717602364,0.0006935426063454774
Schwarzschild_EM_l2,electromagnetic,110.0,190.0,80.0,0.45705331174272773,0.09258890892117028,0.013372986482780482
Schwarzschild_EM_l2,electromagnetic,120.0,200.0,80.0,0.457557673873591,0.09614839707807238,0.005793825333452313
Schwarzschild_EM_l2,electromagnetic,130.0,210.0,80.0,0.4570910638590881,0.09114766858695023,0.020178196155833848
Schwarzschild_EM_l2,electromagnetic,140.0,220.0,80.0,0.4578460227906958,0.09670622651868035,0.00926479503575572
Schwarzschild_EM_l2,electromagnetic,150.0,230.0,80.0,0.4572724934192712,0.09085882881506885,0.021829675947663565
Schwarzschild_EM_l2,electromagnetic,160.0,240.0,80.0,0.45782553205155746,0.09636947046707987,0.007995362777000725
Schwarzschild_EM_l2,electromagnetic,40.0,140.0,100.0,0.4522849032327272,0.09272404321972141,0.028580356996156926
Schwarzschild_EM_l2,electromagnetic,50.0,150.0,100.0,0.45764019711854137,0.09655938794839627,0.007497047558654626
Schwarzschild_EM_l2,electromagnetic,60.0,160.0,100.0,0.4577964127020852,0.09250339771040433,0.01265542520850886
Schwarzschild_EM_l2,electromagnetic,70.0,170.0,100.0,0.45779715801563686,0.09552362553273325,0.0031351205486496807
Schwarzschild_EM_l2,electromagnetic,80.0,180.0,100.0,0.45774958031222845,0.093783567386102,0.006167115033942404
Schwarzschild_EM_l2,electromagnetic,90.0,190.0,100.0,0.45746583181818123,0.09434268309612481,0.003569923946893188
Schwarzschild_EM_l2,electromagnetic,100.0,200.0,100.0,0.45768060507928027,0.09506722248524155,0.0006130149827816834
Schwarzschild_EM_l2,electromagnetic,110.0,210.0,100.0,0.45716492154923727,0.09306771893839726,0.010707285930059419
Schwarzschild_EM_l2,electromagnetic,120.0,220.0,100.0,0.45755745270259796,0.09591116122466567,0.0046105743127383796
Schwarzschild_EM_l2,electromagnetic,130.0,230.0,100.0,0.45720407599306145,0.09188794451697045,0.016167334475422564
Schwarzschild_EM_l2,electromagnetic,140.0,240.0,100.0,0.4578200476933702,0.09637586745892476,0.0075907327792414355
Schwarzschild_EM_l2,electromagnetic,150.0,250.0,100.0,0.45731285127676835,0.09170201741696465,0.01744109708695735
Schwarzschild_EM_l2,electromagnetic,160.0,260.0,100.0,0.4577441445340424,0.09604023496829561,0.0063219058253904566
Schwarzschild_ReggeWheeler_l2,gravitational_odd,40.0,100.0,60.0,0.37102712714465685,0.08754231523745824,0.01439983838543598
Schwarzschild_ReggeWheeler_l2,gravitational_odd,50.0,110.0,60.0,0.3731284524270749,0.08965957926885536,0.003956878056642148
Schwarzschild_ReggeWheeler_l2,gravitational_odd,60.0,120.0,60.0,0.37402073560717136,0.08431063626780712,0.025779154329307604
Schwarzschild_ReggeWheeler_l2,gravitational_odd,70.0,130.0,60.0,0.37296087972919184,0.08246189345478194,0.036637980468696256
Schwarzschild_ReggeWheeler_l2,gravitational_odd,80.0,140.0,60.0,0.3732480765427702,0.08748379111554214,0.0091829439304671
Schwarzschild_ReggeWheeler_l2,gravitational_odd,90.0,150.0,60.0,0.3742189142971169,0.09116506653981786,0.013672338720458291
Schwarzschild_ReggeWheeler_l2,gravitational_odd,100.0,160.0,60.0,0.3736102928099103,0.09069631243612833,0.009377528438515246
Schwarzschild_ReggeWheeler_l2,gravitational_odd,110.0,170.0,60.0,0.37412802210560026,0.08592968159530492,0.016729647350481807
Schwarzschild_ReggeWheeler_l2,gravitational_odd,120.0,180.0,60.0,0.3733703546925981,0.08210152534009006,0.03807186188573399
Schwarzschild_ReggeWheeler_l2,gravitational_odd,130.0,190.0,60.0,0.37287876687833615,0.08588583484555218,0.018643686544495844
Schwarzschild_ReggeWheeler_l2,gravitational_odd,140.0,200.0,60.0,0.3741630405421865,0.09054475317530568,0.010313870565507945
Schwarzschild_ReggeWheeler_l2,gravitational_odd,150.0,210.0,60.0,0.37378316364528974,0.09128265339034151,0.012868993523360728
Schwarzschild_ReggeWheeler_l2,gravitational_odd,160.0,220.0,60.0,0.3738431187671297,0.08756743557512257,0.008069022567823428
Schwarzschild_ReggeWheeler_l2,gravitational_odd,40.0,110.0,70.0,0.37094238187001355,0.08714317263637458,0.015013736715654903
Schwarzschild_ReggeWheeler_l2,gravitational_odd,50.0,120.0,70.0,0.37312269095157774,0.08955952088727899,0.003509255885974915
Schwarzschild_ReggeWheeler_l2,gravitational_odd,60.0,130.0,70.0,0.373929889062237,0.085034041300066,0.02167848375953702
Schwarzschild_ReggeWheeler_l2,gravitational_odd,70.0,140.0,70.0,0.37305755660598305,0.08341123468468,0.03113046679260938
Schwarzschild_ReggeWheeler_l2,gravitational_odd,80.0,150.0,70.0,0.3733041924659765,0.08767818137394152,0.007992977292634023
Schwarzschild_ReggeWheeler_l2,gravitational_odd,90.0,160.0,70.0,0.374128594281603,0.09080948749980203,0.011494876645072549
Schwarzschild_ReggeWheeler_l2,gravitational_odd,100.0,170.0,70.0,0.3736156276217894,0.09044564790271335,0.00805640043262794
Schwarzschild_ReggeWheeler_l2,gravitational_odd,110.0,180.0,70.0,0.374040223007693,0.08641245753456642,0.013992559595412535
Schwarzschild_ReggeWheeler_l2,gravitational_odd,120.0,190.0,70.0,0.3734095980126361,0.08311594290095106,0.032236272872541126
Schwarzschild_ReggeWheeler_l2,gravitational_odd,130.0,200.0,70.0,0.3729869722029355,0.08632241507589228,0.0160244908204157
Schwarzschild_ReggeWheeler_l2,gravitational_odd,140.0,210.0,70.0,0.37407927147229886,0.09026967346397595,0.008594304378314788
Schwarzschild_ReggeWheeler_l2,gravitational_odd,150.0,220.0,70.0,0.37377477822175925,0.09094302804096253,0.011057693117678844
Schwarzschild_ReggeWheeler_l2,gravitational_odd,160.0,230.0,70.0,0.3737765166279826,0.08780346476407722,0.00677270789013798
Schwarzschild_ReggeWheeler_l2,gravitational_odd,40.0,120.0,80.0,0.37088678236098904,0.08687187746227282,0.01569584181060558
Schwarzschild_ReggeWheeler_l2,gravitational_odd,50.0,130.0,80.0,0.37312900484216716,0.08946174127058706,0.003054116589235378
Schwarzschild_ReggeWheeler_l2,gravitational_odd,60.0,140.0,80.0,0.3738785718520881,0.08550069294346098,0.019071530610345302
Schwarzschild_ReggeWheeler_l2,gravitational_odd,70.0,150.0,80.0,0.37313265814554747,0.08408570672176292,0.027219989797855407
Schwarzschild_ReggeWheeler_l2,gravitational_odd,80.0,160.0,80.0,0.37335613943618684,0.08785349134182316,0.006902425950757978
Schwarzschild_ReggeWheeler_l2,gravitational_odd,90.0,170.0,80.0,0.37407143107491203,0.09058076663882123,0.010087371053706398
Schwarzschild_ReggeWheeler_l2,gravitational_odd,100.0,180.0,80.0,0.3736266664361861,0.09025317055689212,0.007055707592067816
Schwarzschild_ReggeWheeler_l2,gravitational_odd,110.0,190.0,80.0,0.373992841636135,0.08670735141159015,0.012351673993767947
Schwarzschild_ReggeWheeler_l2,gravitational_odd,120.0,200.0,80.0,0.37344416270567665,0.08381974644420156,0.028204646468585847
Schwarzschild_ReggeWheeler_l2,gravitational_odd,130.0,210.0,80.0,0.37307469873550225,0.08666521735125365,0.01394471871031871
Schwarzschild_ReggeWheeler_l2,gravitational_odd,140.0,220.0,80.0,0.37402909172887033,0.09010522602798629,0.007553810108238256
Schwarzschild_ReggeWheeler_l2,gravitational_odd,150.0,230.0,80.0,0.3737740823249732,0.09069948587669498,0.009797626329785139
Schwarzschild_ReggeWheeler_l2,gravitational_odd,160.0,240.0,80.0,0.37374333893435935,0.08792818403709782,0.006137795575377273
Schwarzschild_ReggeWheeler_l2,gravitational_odd,40.0,140.0,100.0,0.3708087746915414,0.0864851548712557,0.016854921445564292
Schwarzschild_ReggeWheeler_l2,gravitational_odd,50.0,150.0,100.0,0.3731326236407868,0.0893467132347538,0.0025590530746881163
Schwarzschild_ReggeWheeler_l2,gravitational_odd,60.0,160.0,100.0,0.37380200542576025,0.08619304121925467,0.015223514290703856
Schwarzschild_ReggeWheeler_l2,gravitational_odd,70.0,170.0,100.0,0.373239517563776,0.0850389519704323,0.02175294529004804
