mode,l,m,n,theory,operator,derivative_order,parity,branch,k,coefficient_re,coefficient_im,maximum_fit_order,source_file,source_commit,source_repository,source_paper,license
220,2,2,0,cubic_odd,lambda_odd,6,breaking,plus,7,-0.075222,-0.11322,11,cubic_odd_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,plus,8,-0.10209,-0.3372,11,cubic_odd_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,plus,9,-0.25517,-0.11966,11,cubic_odd_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,plus,10,-0.049002,-0.22811,11,cubic_odd_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,plus,11,0.0,-0.22804,11,cubic_odd_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,minus,0,-0.19707,0.15085,11,cubic_odd_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,minus,1,0.44696,0.49179,11,cubic_odd_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,minus,2,1.3765,-0.62739,11,cubic_odd_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,minus,3,-0.12842,-2.1102,11,cubic_odd_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,minus,4,-2.079,-0.47013,11,cubic_odd_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,minus,5,-0.77087,1.4881,11,cubic_odd_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,minus,6,0.57346,0.66507,11,cubic_odd_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,minus,7,0.075222,0.11322,11,cubic_odd_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,minus,8,0.10209,0.3372,11,cubic_odd_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,minus,9,0.25517,0.11966,11,cubic_odd_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,minus,10,0.049002,0.22811,11,cubic_odd_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,minus,11,0.0,0.22804,11,cubic_odd_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,plus,0,-0.16614,-0.24437,15,quartic_1_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,plus,1,-0.69292,-0.41977,15,quartic_1_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,plus,2,-2.0496,0.23436,15,quartic_1_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,plus,3,-1.4688,3.1942,15,quartic_1_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,plus,4,3.455,2.4462,15,quartic_1_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,plus,5,2.6507,-3.9525,15,quartic_1_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,plus,6,-3.6844,-3.3626,15,quartic_1_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,plus,7,-3.2436,0.93372,15,quartic_1_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,plus,8,-1.1976,0.029363,15,quartic_1_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,plus,9,-1.3027,0.16559,15,quartic_1_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,plus,10,-3.495,0.91384,15,quartic_1_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,plus,11,-8.4644,0.061029,15,quartic_1_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,plus,12,4.0527,0.0,15,quartic_1_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,plus,13,17.095,0.0,15,quartic_1_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,plus,14,-10.86,0.0,15,quartic_1_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,plus,15,-22.875,0.0,15,quartic_1_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,minus,0,-0.079381,-0.057608,13,quartic_1_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,minus,1,-0.19866,0.328,13,quartic_1_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,minus,2,1.1089,0.26122,13,quartic_1_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,minus,3,1.2951,-2.8316,13,quartic_1_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,minus,4,-3.3746,-3.6841,13,quartic_1_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,minus,5,-4.5987,1.6746,13,quartic_1_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,minus,6,0.33427,2.6563,13,quartic_1_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,minus,7,0.48303,-1.035,13,quartic_1_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,minus,8,-1.2987,-0.60649,13,quartic_1_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,minus,9,-0.17057,0.14671,13,quartic_1_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,minus,10,-0.97345,0.0,13,quartic_1_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_1,epsilon1,8,preserving,minus,11,-1.7492,0.0,13,quartic_1_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
