source_paper,source_table,metric_family,perturbation_model,s,l,m,n,spin_a,alpha,h0,re_momega,minus_im_momega,notes
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.7,0.5,1.5,0.532508,0.079807,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.7,0.5,1.99,0.5326,0.080793,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.8,0.5,0.5,0.635179,0.081067,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.8,0.5,1.0,0.600233,0.075057,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.8,0.5,1.5,0.586002,0.074068,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.8,0.5,1.99,0.586017,0.07563,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.9,0.5,0.5,0.778872,0.057647,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.9,0.5,1.0,0.703157,0.059362,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.9,0.5,1.5,0.672405,0.062476,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.9,0.5,1.99,0.671614,0.064869,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.1,0.0,1.0,0.387018,0.088706,kerr_reference_column
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.1,0.5,1.0,0.38957,0.090307,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,1,0.1,0.5,1.0,0.363668,0.275243,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,2,0.1,0.5,1.0,0.319704,0.477473,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.2,0.0,1.0,0.402145,0.088311,kerr_reference_column
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.2,0.5,1.0,0.405023,0.08998,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,1,0.2,0.5,1.0,0.381088,0.27341,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,2,0.2,0.5,1.0,0.340243,0.471936,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.3,0.0,1.0,0.419527,0.087729,kerr_reference_column
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.3,0.5,1.0,0.422858,0.089476,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,1,0.3,0.5,1.0,0.400989,0.270985,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,2,0.3,0.5,1.0,0.363435,0.465366,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.4,0.0,1.0,0.439842,0.086882,kerr_reference_column
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.4,0.5,1.0,0.443813,0.088683,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,1,0.4,0.5,1.0,0.424145,0.267668,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,2,0.4,0.5,1.0,0.390088,0.457279,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.5,0.0,1.0,0.464123,0.085639,kerr_reference_column
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.5,0.5,1.0,0.469026,0.08741,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,1,0.5,0.5,1.0,0.451751,0.262947,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,2,0.5,0.5,1.0,0.421462,0.446879,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.6,0.0,1.0,0.494045,0.083765,kerr_reference_column
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.6,0.5,1.0,0.500398,0.08532,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,1,0.6,0.5,1.0,0.4858,0.2559,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,2,0.6,0.5,1.0,0.459693,0.432749,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.7,0.0,1.0,0.5326,0.080793,kerr_reference_column
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.7,0.5,1.0,0.541479,0.081742,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,1,0.7,0.5,1.0,0.530002,0.24464,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,2,0.7,0.5,1.0,0.508836,0.411948,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.8,0.0,1.0,0.586017,0.07563,kerr_reference_column
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.8,0.5,1.0,0.600233,0.075057,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,1,0.8,0.5,1.0,0.592584,0.224438,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,2,0.8,0.5,1.0,0.577928,0.37674,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.9,0.0,1.0,0.671614,0.064869,kerr_reference_column
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.9,0.5,1.0,0.703157,0.059362,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,1,0.9,0.5,1.0,0.70022,0.177572,
"Zhen Li, arXiv:2212.08112",table3,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,2,0.9,0.5,1.0,0.694559,0.296919,
