"scenario","description","delta_f_bound","domega_lower","samples","df221_mean","dtau221_mean","df221_sigma","dtau221_sigma","df_dtau_correlation","operator","polarization","dlnf221_dalpha","dlntau221_dalpha","alpha_best","alpha_sigma","alpha_q05","alpha_q95","zero_inside_90pct","sigma_from_alpha0","chi2_best","chi2_alpha0"
"loose_df_bound_1p2","looser lower-tail cut than the public Figure 4 script",1.2,-0.6988057880877978,62015.,0.23587636681734256,0.06547180369189218,0.20646838070104823,0.4428883420565068,0.04625406493954726,"lambda_ev","plus",-0.6417653593128632,-1.251644292330667,-0.22560457981489793,0.2434553149580384,-0.6260529376242404,0.17484377799444453,1.,0.9266775705996921,0.4554645385290793,1.3141958583816267
"loose_df_bound_1p2","looser lower-tail cut than the public Figure 4 script",1.2,-0.6988057880877978,62015.,0.23587636681734256,0.06547180369189218,0.20646838070104823,0.4428883420565068,0.04625406493954726,"lambda_ev","minus",-0.10575027336632066,2.915395851594863,0.0009937813331715665,0.15075541367912298,-0.24697680763950344,0.2489643703058466,1.,0.006592010919654446,1.3141524037736618,1.3141958583816267
"loose_df_bound_1p2","looser lower-tail cut than the public Figure 4 script",1.2,-0.6988057880877978,62015.,0.23587636681734256,0.06547180369189218,0.20646838070104823,0.4428883420565068,0.04625406493954726,"lambda_odd","plus",0.38310592655174863,2.072338916513116,0.10400092696612094,0.2016736795802692,-0.22772275635213385,0.43572461028437576,1.,0.5156891428895013,1.0482605662875182,1.3141958583816267
"loose_df_bound_1p2","looser lower-tail cut than the public Figure 4 script",1.2,-0.6988057880877978,62015.,0.23587636681734256,0.06547180369189218,0.20646838070104823,0.4428883420565068,0.04625406493954726,"lambda_odd","minus",-0.38310592655174863,-2.072338916513116,-0.10400092696612094,0.2016736795802692,-0.43572461028437576,0.22772275635213385,1.,0.5156891428895013,1.0482605662875182,1.3141958583816267
"loose_df_bound_1p2","looser lower-tail cut than the public Figure 4 script",1.2,-0.6988057880877978,62015.,0.23587636681734256,0.06547180369189218,0.20646838070104823,0.4428883420565068,0.04625406493954726,"epsilon1","plus",-2.0008221336699696,-0.08178538463929542,-0.11753542414886071,0.10315354314402327,-0.28720790372220256,0.05213705542448112,1.,1.139422074768265,0.015913193912408963,1.3141958583816267
"loose_df_bound_1p2","looser lower-tail cut than the public Figure 4 script",1.2,-0.6988057880877978,62015.,0.23587636681734256,0.06547180369189218,0.20646838070104823,0.4428883420565068,0.04625406493954726,"epsilon1","minus",-7.339749282387388,-8.813353389934536,-0.02650679987716096,0.025017922619753587,-0.06765762063705393,0.014644020882732006,1.,1.0595124255533428,0.19162927847969918,1.3141958583816267
"loose_df_bound_1p2","looser lower-tail cut than the public Figure 4 script",1.2,-0.6988057880877978,62015.,0.23587636681734256,0.06547180369189218,0.20646838070104823,0.4428883420565068,0.04625406493954726,"epsilon2","plus",-2.890404467020634,-2.4172945672716226,-0.075061144961488,0.06754755755250662,-0.18616698999344183,0.03604470007046583,1.,1.1112340354148387,0.0793547769172797,1.3141958583816267
"loose_df_bound_1p2","looser lower-tail cut than the public Figure 4 script",1.2,-0.6988057880877978,62015.,0.23587636681734256,0.06547180369189218,0.20646838070104823,0.4428883420565068,0.04625406493954726,"epsilon2","minus",-7.915026350736427,-5.365576612648539,-0.028399679743461047,0.025183428612216306,-0.06982273363533852,0.013023374148416422,1.,1.127712996541089,0.042459255813944434,1.3141958583816267
"loose_df_bound_1p2","looser lower-tail cut than the public Figure 4 script",1.2,-0.6988057880877978,62015.,0.23587636681734256,0.06547180369189218,0.20646838070104823,0.4428883420565068,0.04625406493954726,"epsilon3","plus",-0.12263191063903157,-1.3916133290538466,-0.09678075453248342,0.31505362275471427,-0.614997848604776,0.42143633953980925,1.,0.30718819763527117,1.2198312696152203,1.3141958583816267
"loose_df_bound_1p2","looser lower-tail cut than the public Figure 4 script",1.2,-0.6988057880877978,62015.,0.23587636681734256,0.06547180369189218,0.20646838070104823,0.4428883420565068,0.04625406493954726,"epsilon3","minus",0.12263191063903157,1.3916133290538466,0.09678075453248342,0.31505362275471427,-0.42143633953980925,0.614997848604776,1.,0.30718819763527117,1.2198312696152203,1.3141958583816267
"positive_domain_only","only require positive log-domain variables","Infinity","-Infinity",62777.,0.2027818643175218,0.06390052871718997,0.3837340795431159,0.44575449140150086,0.041312496029231545,"lambda_ev","plus",-0.6417653593128632,-1.251644292330667,-0.11804647493351002,0.31142198988449804,-0.6302900645074714,0.3941971146404513,1.,0.379056324755011,0.1503619867775888,0.29404568411436516
"positive_domain_only","only require positive log-domain variables","Infinity","-Infinity",62777.,0.2027818643175218,0.06390052871718997,0.3837340795431159,0.44575449140150086,0.041312496029231545,"lambda_ev","minus",-0.10575027336632066,2.915395851594863,0.015134513045186043,0.15236623841349842,-0.23548564683420958,0.26575467292458166,1.,0.09932983318859225,0.2841792683530916,0.29404568411436516
"positive_domain_only","only require positive log-domain variables","Infinity","-Infinity",62777.,0.2027818643175218,0.06390052871718997,0.3837340795431159,0.44575449140150086,0.041312496029231545,"lambda_odd","plus",0.38310592655174863,2.072338916513116,0.0488879077176266,0.2119282536205183,-0.2997030489035744,0.39747886433882756,1.,0.2306814069499482,0.24083177260195754,0.29404568411436516
